Topology = ring
Number of nodes = 80
Optimal number of ADMs = 81
80 Lightpaths:
[0, 27]
[27, 63]
[63, 75]
[75, 77]
[77, 79]
[79, 0]
[1, 21]
[21, 57]
[57, 76]
[76, 78]
[78, 1]
[2, 37]
[37, 72]
[72, 79]
[79, 2]
[3, 12]
[12, 64]
[64, 67]
[67, 72]
[72, 76]
[76, 79]
[79, 1]
[1, 3]
[4, 23]
[23, 71]
[71, 77]
[77, 1]
[1, 4]
[5, 38]
[38, 58]
[58, 70]
[70, 78]
[78, 5]
[6, 28]
[28, 67]
[67, 70]
[70, 72]
[72, 6]
[7, 64]
[64, 2]
[2, 4]
[4, 6]
[6, 7]
[8, 76]
[76, 8]
[9, 17]
[17, 1]
[1, 2]
[2, 3]
[3, 4]
[4, 7]
[7, 8]
[8, 9]
[10, 44]
[44, 3]
[3, 10]
[11, 57]
[57, 11]
[12, 66]
[66, 77]
[77, 8]
[8, 12]
[13, 35]
[35, 39]
[39, 5]
[5, 9]
[9, 10]
[10, 12]
[12, 13]
[14, 32]
[32, 8]
[8, 10]
[10, 11]
[11, 13]
[13, 14]
[15, 42]
[42, 78]
[78, 11]
[11, 15]
[16, 34]
